Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Species,Protein,Library,Feature_role,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
corona2_noise_08,peptide,Prevalence (%),36.666666666666664,43.333333333333336,6.666666666666671,percentage points,0.006274186441030975,-0.0004850838012689738,Synthetic background peptide 08,Mock virus alpha,Mock protein 08,Corona2,noise,0.006274186441030975,0.002494613234295406,100.0,50.0,27,0,2,0.0,,15,False,top-k-frequency
twist_noise_16,peptide,Prevalence (%),50.0,56.666666666666664,6.666666666666664,percentage points,0.006273359792847428,0.001619531114067926,Synthetic background peptide 16,Mock virus alpha,Mock protein 16,Twist,noise,0.006273359792847428,0.004773953287931148,100.0,50.0,28,0,2,0.0,,15,False,top-k-frequency
twist_noise_37,peptide,Prevalence (%),46.666666666666664,43.333333333333336,-3.3333333333333286,percentage points,0.005851605692485817,6.590019825830883e-05,Synthetic background peptide 37,Mock bacterium beta,Mock protein 37,Twist,noise,0.005851605692485817,0.00319191070676626,100.0,66.66666666666667,29,0,2,0.0,,15,False,top-k-frequency
corona2_noise_14,peptide,Prevalence (%),50.0,56.666666666666664,6.666666666666664,percentage points,0.005757246243755225,0.0012248614174274759,Synthetic background peptide 14,Mock virus gamma,Mock protein 14,Corona2,noise,0.005757246243755225,0.0009809796058243183,100.0,50.0,30,0,2,0.0,,15,False,top-k-frequency
corona2_noise_47,peptide,Prevalence (%),50.0,40.0,-10.0,percentage points,0.005583572040525887,0.00048024615848697255,Synthetic background peptide 47,Mock fungus delta,Mock protein 47,Corona2,noise,0.005583572040525887,0.005423488939627591,100.0,50.0,31,0,2,0.0,,15,False,top-k-frequency
agilent_noise_15,peptide,Prevalence (%),36.666666666666664,33.33333333333333,-3.3333333333333357,percentage points,0.005540937379223853,0.0010013266403187384,Synthetic background peptide 15,Mock fungus delta,Mock protein 15,Agilent,noise,0.005540937379223853,0.0038193031677898593,100.0,66.66666666666667,32,0,2,0.0,,15,False,top-k-frequency
agilent_noise_06,peptide,Prevalence (%),40.0,36.666666666666664,-3.3333333333333357,percentage points,0.005420772613348467,0.0009037949917150223,Synthetic background peptide 06,Mock virus gamma,Mock protein 06,Agilent,noise,0.005420772613348467,0.0031370855925376903,100.0,33.333333333333336,33,0,2,0.0,,15,False,top-k-frequency
agilent_noise_36,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.0050669352240618,-0.001131920178015399,Synthetic background peptide 36,Mock virus alpha,Mock protein 36,Agilent,noise,0.0050669352240618,0.007165728513534155,50.0,33.333333333333336,34,0,2,0.0,,15,False,top-k-frequency
corona2_noise_32,peptide,Prevalence (%),53.333333333333336,50.0,-3.3333333333333357,percentage points,0.004714728072241125,-0.0012600388956427338,Synthetic background peptide 32,Mock virus alpha,Mock protein 32,Corona2,noise,0.004714728072241125,0.006667632382664557,50.0,33.333333333333336,35,0,2,0.0,,15,False,top-k-frequency
twist_noise_43,peptide,Prevalence (%),53.333333333333336,46.666666666666664,-6.666666666666671,percentage points,0.004464815024956912,0.0005313997111384678,Synthetic background peptide 43,Mock fungus delta,Mock protein 43,Twist,noise,0.004464815024956912,0.0013100605352862487,100.0,33.333333333333336,36,0,2,0.0,,15,False,top-k-frequency
twist_noise_13,peptide,Prevalence (%),56.666666666666664,66.66666666666666,9.999999999999993,percentage points,0.004397427658613385,0.0011044933173209295,Synthetic background peptide 13,Mock bacterium beta,Mock protein 13,Twist,noise,0.004397427658613385,0.002604869166938985,100.0,50.0,37,0,2,0.0,,15,False,top-k-frequency
twist_noise_04,peptide,Prevalence (%),50.0,43.333333333333336,-6.666666666666664,percentage points,0.004017912287989873,-0.00038802075787360094,Synthetic background peptide 04,Mock virus alpha,Mock protein 04,Twist,noise,0.004017912287989873,0.00568218605010079,50.0,16.666666666666668,38,0,2,0.0,,15,False,top-k-frequency
twist_noise_28,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.0036454258226542315,-5.46607222709069e-05,Synthetic background peptide 28,Mock virus alpha,Mock protein 28,Twist,noise,0.0036454258226542315,0.0013034164474572992,100.0,33.333333333333336,39,0,2,0.0,,15,False,top-k-frequency
agilent_noise_24,peptide,Prevalence (%),46.666666666666664,60.0,13.333333333333336,percentage points,0.003191209534635958,-0.0014116402627822318,Synthetic background peptide 24,Mock virus alpha,Mock protein 24,Agilent,noise,0.003191209534635958,0.004513051804256505,50.0,33.333333333333336,40,0,2,0.0,,15,False,top-k-frequency
agilent_noise_39,peptide,Prevalence (%),53.333333333333336,46.666666666666664,-6.666666666666671,percentage points,0.0030986025997953356,-0.0003465165977038312,Synthetic background peptide 39,Mock fungus delta,Mock protein 39,Agilent,noise,0.0030986025997953356,0.004382085821035096,50.0,33.333333333333336,41,0,2,0.0,,15,False,top-k-frequency
corona2_noise_29,peptide,Prevalence (%),53.333333333333336,56.666666666666664,3.3333333333333286,percentage points,0.0029530234558298434,-0.00011132256745249007,Synthetic background peptide 29,Mock bacterium beta,Mock protein 29,Corona2,noise,0.0029530234558298434,0.000420907904196717,100.0,33.333333333333336,42,0,2,0.0,,15,False,top-k-frequency
twist_noise_46,peptide,Prevalence (%),50.0,46.666666666666664,-3.3333333333333357,percentage points,0.0025878638583071226,-3.532315449931614e-05,Synthetic background peptide 46,Mock virus gamma,Mock protein 46,Twist,noise,0.0025878638583071226,0.0011236329832470878,100.0,33.333333333333336,43,0,2,0.0,,15,False,top-k-frequency
agilent_noise_00,peptide,Prevalence (%),50.0,56.666666666666664,6.666666666666664,percentage points,0.002253290374501555,0.00040767166856577194,Synthetic background peptide 00,Mock virus alpha,Mock protein 00,Agilent,noise,0.002253290374501555,0.00036645160026380633,100.0,33.333333333333336,44,0,2,0.0,,15,False,top-k-frequency
twist_noise_31,peptide,Prevalence (%),40.0,43.333333333333336,3.3333333333333357,percentage points,0.0022157837459745528,0.00012007399122379465,Synthetic background peptide 31,Mock fungus delta,Mock protein 31,Twist,noise,0.0022157837459745528,0.002087136276900132,100.0,33.333333333333336,45,0,2,0.0,,15,False,top-k-frequency
agilent_noise_09,peptide,Prevalence (%),53.333333333333336,43.333333333333336,-10.0,percentage points,0.002056126736497551,-0.0002015044042763892,Synthetic background peptide 09,Mock bacterium beta,Mock protein 09,Agilent,noise,0.002056126736497551,0.0003281066708978472,100.0,33.333333333333336,46,0,2,0.0,,15,False,top-k-frequency
agilent_noise_27,peptide,Prevalence (%),56.666666666666664,56.666666666666664,0.0,percentage points,0.0013578112368702454,0.0002363033556353114,Synthetic background peptide 27,Mock fungus delta,Mock protein 27,Agilent,noise,0.0013578112368702454,0.0019202350663244882,50.0,16.666666666666668,47,0,2,0.0,,15,False,top-k-frequency
agilent_noise_12,peptide,Prevalence (%),33.33333333333333,43.333333333333336,10.000000000000007,percentage points,0.0010129734309175012,0.00037087631907418067,Synthetic background peptide 12,Mock virus alpha,Mock protein 12,Agilent,noise,0.0010129734309175012,0.0001784389265892335,100.0,33.333333333333336,48,0,2,0.0,,15,False,top-k-frequency
agilent_noise_45,peptide,Prevalence (%),33.33333333333333,46.666666666666664,13.333333333333336,percentage points,0.0009548767844600262,3.0553355436968205e-05,Synthetic background peptide 45,Mock bacterium beta,Mock protein 45,Agilent,noise,0.0009548767844600262,0.000623461014507114,100.0,33.333333333333336,49,0,2,0.0,,15,False,top-k-frequency
agilent_noise_21,peptide,Prevalence (%),50.0,53.333333333333336,3.3333333333333357,percentage points,0.0007870453694082804,-0.0005943703825801752,Synthetic background peptide 21,Mock bacterium beta,Mock protein 21,Agilent,noise,0.0007870453694082804,0.0011130502356201328,50.0,16.666666666666668,50,0,2,0.0,,15,False,top-k-frequency
corona2_noise_44,peptide,Prevalence (%),43.333333333333336,46.666666666666664,3.3333333333333286,percentage points,0.0006394053698280136,7.541122221559414e-06,Synthetic background peptide 44,Mock virus alpha,Mock protein 44,Corona2,noise,0.0006394053698280136,0.0009042557458649614,50.0,16.666666666666668,51,0,2,0.0,,15,False,top-k-frequency
corona2_noise_17,peptide,Prevalence (%),43.333333333333336,43.333333333333336,0.0,percentage points,0.0006354499901478059,-0.00044203513055593327,Synthetic background peptide 17,Mock bacterium beta,Mock protein 17,Corona2,noise,0.0006354499901478059,0.0008986619942768768,50.0,16.666666666666668,52,0,2,0.0,,15,False,top-k-frequency
agilent_noise_18,peptide,Prevalence (%),56.666666666666664,56.666666666666664,0.0,percentage points,0.00039596855542196316,-0.00020738329540329528,Synthetic background peptide 18,Mock virus gamma,Mock protein 18,Agilent,noise,0.00039596855542196316,0.0005599841013510229,50.0,16.666666666666668,53,0,2,0.0,,15,False,top-k-frequency
twist_noise_01,peptide,Prevalence (%),43.333333333333336,43.333333333333336,0.0,percentage points,0.0,0.0,Synthetic background peptide 01,Mock bacterium beta,Mock protein 01,Twist,noise,0.0,0.0,0.0,0.0,54,0,2,0.0,,15,False,top-k-frequency
