peptide_id,PERFECT00,PERFECT01,PERFECT02,PERFECT03,PERFECT04,PERFECT05,PERFECT06,PERFECT07,PERFECT08,PERFECT09,PERFECT10,PERFECT11,PERFECT12,PERFECT13,PERFECT14,PERFECT15,PERFECT16,PERFECT17,PERFECT18,PERFECT19,PERFECT20,PERFECT21,PERFECT22,PERFECT23,PERFECT24,PERFECT25,PERFECT26,PERFECT27,PERFECT28,PERFECT29
twist_noise_37,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
corona2_noise_38,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
agilent_noise_39,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
twist_noise_40,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
corona2_noise_41,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
agilent_noise_42,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1
twist_noise_43,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1
corona2_noise_44,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0
agilent_noise_45,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
twist_noise_46,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1
corona2_noise_47,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
